run_id,protocol,trial,similarity,bytes_sent,transmitted_bytes,similarity_numeric
sweep_riblt_n100000_sim20_t3,riblt,3,0.2,57306192.0,57306192.0,0.2
sweep_riblt_n100000_sim20_t4,riblt,4,0.2,57435096.0,57435096.0,0.2
sweep_riblt_n100000_sim20_t5,riblt,5,0.2,57345248.0,57345248.0,0.2
sweep_riblt_n100000_sim30_t1,riblt,1,0.3,46255988.0,46255988.0,0.3
sweep_riblt_n100000_sim30_t2,riblt,2,0.3,46771380.0,46771380.0,0.3
sweep_riblt_n100000_sim30_t3,riblt,3,0.3,46610868.0,46610868.0,0.3
sweep_riblt_n100000_sim30_t4,riblt,4,0.3,46505420.0,46505420.0,0.3
sweep_riblt_n100000_sim30_t5,riblt,5,0.3,46423988.0,46423988.0,0.3
sweep_riblt_n100000_sim40_t1,riblt,1,0.4,36946832.0,36946832.0,0.4
sweep_riblt_n100000_sim40_t2,riblt,2,0.4,37276760.0,37276760.0,0.4
sweep_riblt_n100000_sim40_t3,riblt,3,0.4,37244528.0,37244528.0,0.4
sweep_riblt_n100000_sim40_t4,riblt,4,0.4,37501816.0,37501816.0,0.4
sweep_riblt_n100000_sim40_t5,riblt,5,0.4,36949476.0,36949476.0,0.4
sweep_riblt_n100000_sim50_t1,riblt,1,0.5,29398780.0,29398780.0,0.5
sweep_riblt_n100000_sim50_t2,riblt,2,0.5,29399740.0,29399740.0,0.5
sweep_riblt_n100000_sim50_t3,riblt,3,0.5,28899024.0,28899024.0,0.5
sweep_riblt_n100000_sim50_t4,riblt,4,0.5,29176624.0,29176624.0,0.5
sweep_riblt_n100000_sim50_t5,riblt,5,0.5,26433312.0,26433312.0,0.5
sweep_riblt_n100000_sim60_t1,riblt,1,0.6,22211544.0,22211544.0,0.6
sweep_riblt_n100000_sim60_t2,riblt,2,0.6,22306800.0,22306800.0,0.6
sweep_riblt_n100000_sim60_t3,riblt,3,0.6,22418620.0,22418620.0,0.6
sweep_riblt_n100000_sim60_t4,riblt,4,0.6,22172060.0,22172060.0,0.6
sweep_riblt_n100000_sim60_t5,riblt,5,0.6,22149304.0,22149304.0,0.6
sweep_riblt_n100000_sim70_t1,riblt,1,0.7,15805768.0,15805768.0,0.7
sweep_riblt_n100000_sim70_t2,riblt,2,0.7,15777308.0,15777308.0,0.7
sweep_riblt_n100000_sim70_t3,riblt,3,0.7,16202872.0,16202872.0,0.7
sweep_riblt_n100000_sim70_t4,riblt,4,0.7,15966796.0,15966796.0,0.7
sweep_riblt_n100000_sim70_t5,riblt,5,0.7,15741804.0,15741804.0,0.7
sweep_riblt_n100000_sim75_t1,riblt,1,0.75,12969696.0,12969696.0,0.75
sweep_riblt_n100000_sim75_t2,riblt,2,0.75,12908516.0,12908516.0,0.75
sweep_riblt_n100000_sim75_t3,riblt,3,0.75,13138676.0,13138676.0,0.75
sweep_riblt_n100000_sim75_t4,riblt,4,0.75,12853976.0,12853976.0,0.75
sweep_riblt_n100000_sim75_t5,riblt,5,0.75,13100236.0,13100236.0,0.75
sweep_riblt_n100000_sim80_t1,riblt,1,0.8,10326888.0,10326888.0,0.8
sweep_riblt_n100000_sim80_t2,riblt,2,0.8,10552412.0,10552412.0,0.8
sweep_riblt_n100000_sim80_t3,riblt,3,0.8,10202632.0,10202632.0,0.8
sweep_riblt_n100000_sim80_t4,riblt,4,0.8,10424356.0,10424356.0,0.8
sweep_riblt_n100000_sim80_t5,riblt,5,0.8,10534828.0,10534828.0,0.8
sweep_riblt_n100000_sim85_t1,riblt,1,0.85,7801036.0,7801036.0,0.85
sweep_riblt_n100000_sim85_t2,riblt,2,0.85,7951476.0,7951476.0,0.85
sweep_riblt_n100000_sim85_t3,riblt,3,0.85,7752180.0,7752180.0,0.85
sweep_riblt_n100000_sim85_t4,riblt,4,0.85,7807120.0,7807120.0,0.85
sweep_riblt_n100000_sim85_t5,riblt,5,0.85,7963600.0,7963600.0,0.85
sweep_riblt_n100000_sim90_t1,riblt,1,0.9,5607032.0,5607032.0,0.9
sweep_riblt_n100000_sim90_t2,riblt,2,0.9,5598684.0,5598684.0,0.9
sweep_riblt_n100000_sim90_t3,riblt,3,0.9,5616712.0,5616712.0,0.9
sweep_riblt_n100000_sim90_t4,riblt,4,0.9,5558796.0,5558796.0,0.9
sweep_riblt_n100000_sim90_t5,riblt,5,0.9,5594600.0,5594600.0,0.9
sweep_riblt_n100000_sim95_t1,riblt,1,0.95,2660468.0,2660468.0,0.95
sweep_riblt_n100000_sim95_t2,riblt,2,0.95,2733380.0,2733380.0,0.95
sweep_riblt_n100000_sim95_t3,riblt,3,0.95,2575680.0,2575680.0,0.95
sweep_riblt_n100000_sim95_t4,riblt,4,0.95,2649396.0,2649396.0,0.95
sweep_riblt_n100000_sim95_t5,riblt,5,0.95,2435272.0,2435272.0,0.95
sweep_riblt_n100000_sim97_t1,riblt,1,0.97,1577908.0,1577908.0,0.97
sweep_riblt_n100000_sim97_t2,riblt,2,0.97,1596728.0,1596728.0,0.97
sweep_riblt_n100000_sim97_t3,riblt,3,0.97,1579948.0,1579948.0,0.97
sweep_riblt_n100000_sim97_t4,riblt,4,0.97,1477368.0,1477368.0,0.97
sweep_riblt_n100000_sim97_t5,riblt,5,0.97,1515420.0,1515420.0,0.97
sweep_riblt_n100000_sim99_t1,riblt,1,0.99,465760.0,465760.0,0.99
sweep_riblt_n100000_sim99_t2,riblt,2,0.99,526888.0,526888.0,0.99
sweep_riblt_n100000_sim99_t3,riblt,3,0.99,523856.0,523856.0,0.99
sweep_riblt_n100000_sim99_t4,riblt,4,0.99,519876.0,519876.0,0.99
sweep_riblt_n100000_sim99_t5,riblt,5,0.99,462404.0,462404.0,0.99
