run_dir,iteration,scom_size,protocol,trial,similarity,run_id
sweep_rbf_riblt_n100000_sim90_t5,1,97367,rbf_riblt,5,0.9,sweep_rbf_riblt_n100000_sim90_t5
sweep_rbf_riblt_n100000_sim90_t5,1,97301,rbf_riblt,5,0.9,sweep_rbf_riblt_n100000_sim90_t5
sweep_rbf_riblt_n100000_sim95_t1,1,98759,rbf_riblt,1,0.95,sweep_rbf_riblt_n100000_sim95_t1
sweep_rbf_riblt_n100000_sim95_t1,1,98706,rbf_riblt,1,0.95,sweep_rbf_riblt_n100000_sim95_t1
sweep_rbf_riblt_n100000_sim95_t2,1,98729,rbf_riblt,2,0.95,sweep_rbf_riblt_n100000_sim95_t2
sweep_rbf_riblt_n100000_sim95_t2,1,98707,rbf_riblt,2,0.95,sweep_rbf_riblt_n100000_sim95_t2
sweep_rbf_riblt_n100000_sim95_t3,1,98705,rbf_riblt,3,0.95,sweep_rbf_riblt_n100000_sim95_t3
sweep_rbf_riblt_n100000_sim95_t3,1,98684,rbf_riblt,3,0.95,sweep_rbf_riblt_n100000_sim95_t3
sweep_rbf_riblt_n100000_sim95_t4,1,98682,rbf_riblt,4,0.95,sweep_rbf_riblt_n100000_sim95_t4
sweep_rbf_riblt_n100000_sim95_t4,1,98714,rbf_riblt,4,0.95,sweep_rbf_riblt_n100000_sim95_t4
sweep_rbf_riblt_n100000_sim95_t5,1,98684,rbf_riblt,5,0.95,sweep_rbf_riblt_n100000_sim95_t5
sweep_rbf_riblt_n100000_sim95_t5,1,98750,rbf_riblt,5,0.95,sweep_rbf_riblt_n100000_sim95_t5
sweep_rbf_riblt_n100000_sim97_t1,1,99229,rbf_riblt,1,0.97,sweep_rbf_riblt_n100000_sim97_t1
sweep_rbf_riblt_n100000_sim97_t1,1,99250,rbf_riblt,1,0.97,sweep_rbf_riblt_n100000_sim97_t1
sweep_rbf_riblt_n100000_sim97_t2,1,99212,rbf_riblt,2,0.97,sweep_rbf_riblt_n100000_sim97_t2
sweep_rbf_riblt_n100000_sim97_t2,1,99233,rbf_riblt,2,0.97,sweep_rbf_riblt_n100000_sim97_t2
sweep_rbf_riblt_n100000_sim97_t3,1,99248,rbf_riblt,3,0.97,sweep_rbf_riblt_n100000_sim97_t3
sweep_rbf_riblt_n100000_sim97_t3,1,99229,rbf_riblt,3,0.97,sweep_rbf_riblt_n100000_sim97_t3
sweep_rbf_riblt_n100000_sim97_t4,1,99239,rbf_riblt,4,0.97,sweep_rbf_riblt_n100000_sim97_t4
sweep_rbf_riblt_n100000_sim97_t4,1,99261,rbf_riblt,4,0.97,sweep_rbf_riblt_n100000_sim97_t4
sweep_rbf_riblt_n100000_sim97_t5,1,99235,rbf_riblt,5,0.97,sweep_rbf_riblt_n100000_sim97_t5
