run_dir,iteration,timestamp,round_trips,protocol,trial,similarity,run_id,similarity_numeric
sweep_riblt_n100000_sim70_t1,1,4448,1968,riblt,1,0.7,sweep_riblt_n100000_sim70_t1,0.7
sweep_riblt_n100000_sim70_t2,1,4165,1959,riblt,2,0.7,sweep_riblt_n100000_sim70_t2,0.7
sweep_riblt_n100000_sim70_t2,1,4201,1866,riblt,2,0.7,sweep_riblt_n100000_sim70_t2,0.7
sweep_riblt_n100000_sim70_t3,1,4270,2068,riblt,3,0.7,sweep_riblt_n100000_sim70_t3,0.7
sweep_riblt_n100000_sim70_t3,1,4337,2061,riblt,3,0.7,sweep_riblt_n100000_sim70_t3,0.7
sweep_riblt_n100000_sim70_t4,1,4277,2047,riblt,4,0.7,sweep_riblt_n100000_sim70_t4,0.7
sweep_riblt_n100000_sim70_t4,1,4281,2054,riblt,4,0.7,sweep_riblt_n100000_sim70_t4,0.7
sweep_riblt_n100000_sim70_t5,1,4350,2049,riblt,5,0.7,sweep_riblt_n100000_sim70_t5,0.7
sweep_riblt_n100000_sim70_t5,1,4354,1960,riblt,5,0.7,sweep_riblt_n100000_sim70_t5,0.7
sweep_merkle_n100000_sim70_t1,1,2639,81,merkle,1,0.7,sweep_merkle_n100000_sim70_t1,0.7
sweep_merkle_n100000_sim70_t1,1,2670,81,merkle,1,0.7,sweep_merkle_n100000_sim70_t1,0.7
sweep_merkle_n100000_sim70_t2,1,2626,81,merkle,2,0.7,sweep_merkle_n100000_sim70_t2,0.7
sweep_merkle_n100000_sim70_t2,1,2638,81,merkle,2,0.7,sweep_merkle_n100000_sim70_t2,0.7
sweep_merkle_n100000_sim70_t3,1,2550,81,merkle,3,0.7,sweep_merkle_n100000_sim70_t3,0.7
sweep_merkle_n100000_sim70_t3,1,2584,81,merkle,3,0.7,sweep_merkle_n100000_sim70_t3,0.7
sweep_merkle_n100000_sim70_t4,1,2686,81,merkle,4,0.7,sweep_merkle_n100000_sim70_t4,0.7
sweep_merkle_n100000_sim70_t4,1,2718,81,merkle,4,0.7,sweep_merkle_n100000_sim70_t4,0.7
sweep_merkle_n100000_sim70_t5,1,2563,81,merkle,5,0.7,sweep_merkle_n100000_sim70_t5,0.7
sweep_merkle_n100000_sim70_t5,1,2567,81,merkle,5,0.7,sweep_merkle_n100000_sim70_t5,0.7
sweep_rbf_riblt_n100000_sim70_t1,1,4130,59,rbf_riblt,1,0.7,sweep_rbf_riblt_n100000_sim70_t1,0.7
sweep_rbf_riblt_n100000_sim70_t1,1,4138,436,rbf_riblt,1,0.7,sweep_rbf_riblt_n100000_sim70_t1,0.7
sweep_rbf_riblt_n100000_sim70_t2,1,3962,391,rbf_riblt,2,0.7,sweep_rbf_riblt_n100000_sim70_t2,0.7
sweep_rbf_riblt_n100000_sim70_t2,1,4062,108,rbf_riblt,2,0.7,sweep_rbf_riblt_n100000_sim70_t2,0.7
sweep_rbf_riblt_n100000_sim70_t3,1,4078,411,rbf_riblt,3,0.7,sweep_rbf_riblt_n100000_sim70_t3,0.7
sweep_rbf_riblt_n100000_sim70_t3,1,4184,136,rbf_riblt,3,0.7,sweep_rbf_riblt_n100000_sim70_t3,0.7
sweep_rbf_riblt_n100000_sim70_t4,1,3982,55,rbf_riblt,4,0.7,sweep_rbf_riblt_n100000_sim70_t4,0.7
sweep_rbf_riblt_n100000_sim70_t4,1,3985,376,rbf_riblt,4,0.7,sweep_rbf_riblt_n100000_sim70_t4,0.7
sweep_rbf_riblt_n100000_sim70_t5,1,4010,388,rbf_riblt,5,0.7,sweep_rbf_riblt_n100000_sim70_t5,0.7
sweep_rbf_riblt_n100000_sim70_t5,1,4061,40,rbf_riblt,5,0.7,sweep_rbf_riblt_n100000_sim70_t5,0.7
sweep_riblt_n100000_sim75_t1,1,4062,1634,riblt,1,0.75,sweep_riblt_n100000_sim75_t1,0.75
sweep_riblt_n100000_sim75_t1,1,4067,1554,riblt,1,0.75,sweep_riblt_n100000_sim75_t1,0.75
sweep_riblt_n100000_sim75_t2,1,4102,1621,riblt,2,0.75,sweep_riblt_n100000_sim75_t2,0.75
sweep_riblt_n100000_sim75_t2,1,4210,1547,riblt,2,0.75,sweep_riblt_n100000_sim75_t2,0.75
sweep_riblt_n100000_sim75_t3,1,4152,1605,riblt,3,0.75,sweep_riblt_n100000_sim75_t3,0.75
sweep_riblt_n100000_sim75_t3,1,4160,1580,riblt,3,0.75,sweep_riblt_n100000_sim75_t3,0.75
sweep_riblt_n100000_sim75_t4,1,4511,1539,riblt,4,0.75,sweep_riblt_n100000_sim75_t4,0.75
sweep_riblt_n100000_sim75_t4,1,4515,1663,riblt,4,0.75,sweep_riblt_n100000_sim75_t4,0.75
sweep_riblt_n100000_sim75_t5,1,4173,1783,riblt,5,0.75,sweep_riblt_n100000_sim75_t5,0.75
sweep_riblt_n100000_sim75_t5,1,4185,1714,riblt,5,0.75,sweep_riblt_n100000_sim75_t5,0.75
sweep_merkle_n100000_sim75_t1,1,2405,73,merkle,1,0.75,sweep_merkle_n100000_sim75_t1,0.75
sweep_merkle_n100000_sim75_t1,1,2438,73,merkle,1,0.75,sweep_merkle_n100000_sim75_t1,0.75
sweep_merkle_n100000_sim75_t2,1,2403,73,merkle,2,0.75,sweep_merkle_n100000_sim75_t2,0.75
sweep_merkle_n100000_sim75_t2,1,2413,73,merkle,2,0.75,sweep_merkle_n100000_sim75_t2,0.75
sweep_merkle_n100000_sim75_t3,1,2383,73,merkle,3,0.75,sweep_merkle_n100000_sim75_t3,0.75
sweep_merkle_n100000_sim75_t3,1,2397,73,merkle,3,0.75,sweep_merkle_n100000_sim75_t3,0.75
sweep_merkle_n100000_sim75_t4,1,2434,73,merkle,4,0.75,sweep_merkle_n100000_sim75_t4,0.75
sweep_merkle_n100000_sim75_t4,1,2441,73,merkle,4,0.75,sweep_merkle_n100000_sim75_t4,0.75
sweep_merkle_n100000_sim75_t5,1,2397,73,merkle,5,0.75,sweep_merkle_n100000_sim75_t5,0.75
sweep_merkle_n100000_sim75_t5,1,2432,73,merkle,5,0.75,sweep_merkle_n100000_sim75_t5,0.75
sweep_rbf_riblt_n100000_sim75_t1,1,4049,416,rbf_riblt,1,0.75,sweep_rbf_riblt_n100000_sim75_t1,0.75
sweep_rbf_riblt_n100000_sim75_t1,1,4054,117,rbf_riblt,1,0.75,sweep_rbf_riblt_n100000_sim75_t1,0.75
sweep_rbf_riblt_n100000_sim75_t2,1,4108,60,rbf_riblt,2,0.75,sweep_rbf_riblt_n100000_sim75_t2,0.75
sweep_rbf_riblt_n100000_sim75_t2,1,4112,431,rbf_riblt,2,0.75,sweep_rbf_riblt_n100000_sim75_t2,0.75
