run_id,protocol,trial,similarity,iteration,rss_memory_bytes,similarity_numeric,rss_memory_mb
sweep_rbf_riblt_n100000_sim70_t1,rbf_riblt,1,0.7,1,180383744,0.7,172.02734375
sweep_rbf_riblt_n100000_sim70_t2,rbf_riblt,2,0.7,1,182697984,0.7,174.234375
sweep_rbf_riblt_n100000_sim70_t3,rbf_riblt,3,0.7,1,165814272,0.7,158.1328125
sweep_rbf_riblt_n100000_sim70_t4,rbf_riblt,4,0.7,1,182681600,0.7,174.21875
sweep_rbf_riblt_n100000_sim70_t5,rbf_riblt,5,0.7,1,215097344,0.7,205.1328125
sweep_rbf_riblt_n100000_sim75_t1,rbf_riblt,1,0.75,1,159342592,0.75,151.9609375
sweep_rbf_riblt_n100000_sim75_t2,rbf_riblt,2,0.75,1,189181952,0.75,180.41796875
sweep_rbf_riblt_n100000_sim75_t3,rbf_riblt,3,0.75,1,182571008,0.75,174.11328125
sweep_rbf_riblt_n100000_sim75_t4,rbf_riblt,4,0.75,1,161742848,0.75,154.25
sweep_rbf_riblt_n100000_sim75_t5,rbf_riblt,5,0.75,1,177913856,0.75,169.671875
sweep_rbf_riblt_n100000_sim80_t1,rbf_riblt,1,0.8,1,144044032,0.8,137.37109375
sweep_rbf_riblt_n100000_sim80_t2,rbf_riblt,2,0.8,1,166633472,0.8,158.9140625
sweep_rbf_riblt_n100000_sim80_t3,rbf_riblt,3,0.8,1,149598208,0.8,142.66796875
sweep_rbf_riblt_n100000_sim80_t4,rbf_riblt,4,0.8,1,161968128,0.8,154.46484375
sweep_rbf_riblt_n100000_sim80_t5,rbf_riblt,5,0.8,1,162566144,0.8,155.03515625
sweep_rbf_riblt_n100000_sim85_t1,rbf_riblt,1,0.85,1,164188160,0.85,156.58203125
sweep_rbf_riblt_n100000_sim85_t2,rbf_riblt,2,0.85,1,163901440,0.85,156.30859375
sweep_rbf_riblt_n100000_sim85_t3,rbf_riblt,3,0.85,1,154112000,0.85,146.97265625
sweep_rbf_riblt_n100000_sim85_t4,rbf_riblt,4,0.85,1,162017280,0.85,154.51171875
sweep_rbf_riblt_n100000_sim85_t5,rbf_riblt,5,0.85,1,151277568,0.85,144.26953125
sweep_rbf_riblt_n100000_sim90_t1,rbf_riblt,1,0.9,1,147681280,0.9,140.83984375
