run_id,protocol,trial,similarity,iteration,cpu_round_seconds,similarity_numeric,cpu_round_ms
sweep_riblt_n100000_sim20_t4,riblt,4,0.2,1,15.665506,0.2,15665.506000000001
sweep_riblt_n100000_sim20_t5,riblt,5,0.2,1,16.240884,0.2,16240.884000000002
sweep_riblt_n100000_sim30_t1,riblt,1,0.3,1,14.522256,0.3,14522.256000000001
sweep_riblt_n100000_sim30_t2,riblt,2,0.3,1,14.672007999999998,0.3,14672.007999999998
sweep_riblt_n100000_sim30_t3,riblt,3,0.3,1,14.827074,0.3,14827.074
sweep_riblt_n100000_sim30_t4,riblt,4,0.3,1,14.604989,0.3,14604.989
sweep_riblt_n100000_sim30_t5,riblt,5,0.3,1,16.166781999999998,0.3,16166.781999999997
sweep_riblt_n100000_sim40_t1,riblt,1,0.4,1,15.504551,0.4,15504.551
sweep_riblt_n100000_sim40_t2,riblt,2,0.4,1,14.730704,0.4,14730.704
sweep_riblt_n100000_sim40_t3,riblt,3,0.4,1,13.126764,0.4,13126.764
sweep_riblt_n100000_sim40_t4,riblt,4,0.4,1,13.648012,0.4,13648.011999999999
sweep_riblt_n100000_sim40_t5,riblt,5,0.4,1,14.201972,0.4,14201.972
sweep_riblt_n100000_sim50_t1,riblt,1,0.5,1,11.838866,0.5,11838.866
sweep_riblt_n100000_sim50_t2,riblt,2,0.5,1,11.644217,0.5,11644.216999999999
sweep_riblt_n100000_sim50_t3,riblt,3,0.5,1,11.879177,0.5,11879.177
sweep_riblt_n100000_sim50_t4,riblt,4,0.5,1,11.676488,0.5,11676.488000000001
sweep_riblt_n100000_sim50_t5,riblt,5,0.5,1,11.203267,0.5,11203.267
sweep_riblt_n100000_sim60_t1,riblt,1,0.6,1,10.829772,0.6,10829.772
sweep_riblt_n100000_sim60_t2,riblt,2,0.6,1,11.133753,0.6,11133.753
sweep_riblt_n100000_sim60_t3,riblt,3,0.6,1,10.99814,0.6,10998.14
sweep_riblt_n100000_sim60_t4,riblt,4,0.6,1,11.356708,0.6,11356.707999999999
sweep_riblt_n100000_sim60_t5,riblt,5,0.6,1,11.570479,0.6,11570.479000000001
sweep_riblt_n100000_sim70_t1,riblt,1,0.7,1,10.519105,0.7,10519.105
sweep_riblt_n100000_sim70_t2,riblt,2,0.7,1,9.838807,0.7,9838.806999999999
sweep_riblt_n100000_sim70_t3,riblt,3,0.7,1,10.072167,0.7,10072.167
sweep_riblt_n100000_sim70_t4,riblt,4,0.7,1,10.015632,0.7,10015.632
sweep_riblt_n100000_sim70_t5,riblt,5,0.7,1,10.31303,0.7,10313.029999999999
sweep_riblt_n100000_sim75_t1,riblt,1,0.75,1,9.184619,0.75,9184.618999999999
sweep_riblt_n100000_sim75_t2,riblt,2,0.75,1,9.360499,0.75,9360.499000000002
sweep_riblt_n100000_sim75_t3,riblt,3,0.75,1,9.779715,0.75,9779.715
sweep_riblt_n100000_sim75_t4,riblt,4,0.75,1,10.491926,0.75,10491.926
sweep_riblt_n100000_sim75_t5,riblt,5,0.75,1,9.649264,0.75,9649.264000000001
sweep_riblt_n100000_sim80_t1,riblt,1,0.8,1,9.414349,0.8,9414.349
sweep_riblt_n100000_sim80_t2,riblt,2,0.8,1,9.360162,0.8,9360.162
sweep_riblt_n100000_sim80_t3,riblt,3,0.8,1,9.086971,0.8,9086.971
sweep_riblt_n100000_sim80_t4,riblt,4,0.8,1,10.733571,0.8,10733.571
sweep_riblt_n100000_sim80_t5,riblt,5,0.8,1,10.642632,0.8,10642.632000000001
sweep_riblt_n100000_sim85_t1,riblt,1,0.85,1,10.805908,0.85,10805.908000000001
sweep_riblt_n100000_sim85_t2,riblt,2,0.85,1,10.718389,0.85,10718.389000000001
sweep_riblt_n100000_sim85_t3,riblt,3,0.85,1,8.766138,0.85,8766.137999999999
sweep_riblt_n100000_sim85_t4,riblt,4,0.85,1,9.297535,0.85,9297.535
sweep_riblt_n100000_sim85_t5,riblt,5,0.85,1,9.385815,0.85,9385.814999999999
sweep_riblt_n100000_sim90_t1,riblt,1,0.9,1,9.015394,0.9,9015.394
sweep_riblt_n100000_sim90_t2,riblt,2,0.9,1,8.817876,0.9,8817.876
sweep_riblt_n100000_sim90_t3,riblt,3,0.9,1,9.097621,0.9,9097.621000000001
sweep_riblt_n100000_sim90_t4,riblt,4,0.9,1,8.658665,0.9,8658.664999999999
sweep_riblt_n100000_sim90_t5,riblt,5,0.9,1,8.229733,0.9,8229.733
sweep_riblt_n100000_sim95_t1,riblt,1,0.95,1,7.44746,0.95,7447.46
sweep_riblt_n100000_sim95_t2,riblt,2,0.95,1,7.005233,0.95,7005.232999999999
sweep_riblt_n100000_sim95_t3,riblt,3,0.95,1,6.7333490000000005,0.95,6733.349
sweep_riblt_n100000_sim95_t4,riblt,4,0.95,1,6.741766,0.95,6741.7660000000005
sweep_riblt_n100000_sim95_t5,riblt,5,0.95,1,7.0035110000000005,0.95,7003.511
sweep_riblt_n100000_sim97_t1,riblt,1,0.97,1,6.668509,0.97,6668.509
sweep_riblt_n100000_sim97_t2,riblt,2,0.97,1,7.741452,0.97,7741.452
sweep_riblt_n100000_sim97_t3,riblt,3,0.97,1,6.923278,0.97,6923.278
sweep_riblt_n100000_sim97_t4,riblt,4,0.97,1,6.225371,0.97,6225.371
sweep_riblt_n100000_sim97_t5,riblt,5,0.97,1,6.984837,0.97,6984.8369999999995
sweep_riblt_n100000_sim99_t1,riblt,1,0.99,1,5.384198,0.99,5384.197999999999
sweep_riblt_n100000_sim99_t2,riblt,2,0.99,1,5.575761,0.99,5575.761
sweep_riblt_n100000_sim99_t3,riblt,3,0.99,1,5.292209000000001,0.99,5292.209000000001
sweep_riblt_n100000_sim99_t4,riblt,4,0.99,1,5.298717999999999,0.99,5298.717999999999
sweep_riblt_n100000_sim99_t5,riblt,5,0.99,1,5.440949000000001,0.99,5440.9490000000005
