run_dir,iteration,round_duration_seconds,protocol,trial,similarity,run_id
sweep_rbf_riblt_n100000_sim95_t4,1,1.83353042,rbf_riblt,4,0.95,sweep_rbf_riblt_n100000_sim95_t4
sweep_rbf_riblt_n100000_sim95_t4,1,2.078456508,rbf_riblt,4,0.95,sweep_rbf_riblt_n100000_sim95_t4
sweep_rbf_riblt_n100000_sim95_t5,1,1.716200006,rbf_riblt,5,0.95,sweep_rbf_riblt_n100000_sim95_t5
sweep_rbf_riblt_n100000_sim95_t5,1,1.928558846,rbf_riblt,5,0.95,sweep_rbf_riblt_n100000_sim95_t5
sweep_rbf_riblt_n100000_sim95_t6,1,1.864843523,rbf_riblt,6,0.95,sweep_rbf_riblt_n100000_sim95_t6
sweep_rbf_riblt_n100000_sim95_t6,1,1.735192769,rbf_riblt,6,0.95,sweep_rbf_riblt_n100000_sim95_t6
sweep_rbf_riblt_n100000_sim95_t7,1,1.704577722,rbf_riblt,7,0.95,sweep_rbf_riblt_n100000_sim95_t7
sweep_rbf_riblt_n100000_sim95_t7,1,1.932620039,rbf_riblt,7,0.95,sweep_rbf_riblt_n100000_sim95_t7
sweep_rbf_riblt_n100000_sim95_t8,1,1.823673926,rbf_riblt,8,0.95,sweep_rbf_riblt_n100000_sim95_t8
sweep_rbf_riblt_n100000_sim95_t8,1,1.72873692,rbf_riblt,8,0.95,sweep_rbf_riblt_n100000_sim95_t8
sweep_rbf_riblt_n100000_sim95_t9,1,1.775135523,rbf_riblt,9,0.95,sweep_rbf_riblt_n100000_sim95_t9
sweep_rbf_riblt_n100000_sim95_t9,1,2.018669953,rbf_riblt,9,0.95,sweep_rbf_riblt_n100000_sim95_t9
sweep_rbf_riblt_n100000_sim95_t10,1,1.770126368,rbf_riblt,10,0.95,sweep_rbf_riblt_n100000_sim95_t10
sweep_rbf_riblt_n100000_sim95_t10,1,1.989862256,rbf_riblt,10,0.95,sweep_rbf_riblt_n100000_sim95_t10
sweep_rbf_riblt_n100000_sim95_t11,1,1.762111036,rbf_riblt,11,0.95,sweep_rbf_riblt_n100000_sim95_t11
sweep_rbf_riblt_n100000_sim95_t11,1,2.001118985,rbf_riblt,11,0.95,sweep_rbf_riblt_n100000_sim95_t11
sweep_rbf_riblt_n100000_sim95_t12,1,1.845028992,rbf_riblt,12,0.95,sweep_rbf_riblt_n100000_sim95_t12
sweep_rbf_riblt_n100000_sim95_t12,1,2.116490206,rbf_riblt,12,0.95,sweep_rbf_riblt_n100000_sim95_t12
sweep_rbf_riblt_n100000_sim95_t13,1,1.739157361,rbf_riblt,13,0.95,sweep_rbf_riblt_n100000_sim95_t13
sweep_rbf_riblt_n100000_sim95_t13,1,1.972493083,rbf_riblt,13,0.95,sweep_rbf_riblt_n100000_sim95_t13
sweep_rbf_riblt_n100000_sim95_t14,1,1.7655710340000002,rbf_riblt,14,0.95,sweep_rbf_riblt_n100000_sim95_t14
sweep_rbf_riblt_n100000_sim95_t14,1,2.000588044,rbf_riblt,14,0.95,sweep_rbf_riblt_n100000_sim95_t14
sweep_rbf_riblt_n100000_sim95_t15,1,1.754687044,rbf_riblt,15,0.95,sweep_rbf_riblt_n100000_sim95_t15
sweep_rbf_riblt_n100000_sim95_t15,1,1.972442583,rbf_riblt,15,0.95,sweep_rbf_riblt_n100000_sim95_t15
sweep_rbf_riblt_n100000_sim95_t16,1,1.875632433,rbf_riblt,16,0.95,sweep_rbf_riblt_n100000_sim95_t16
sweep_rbf_riblt_n100000_sim95_t16,1,2.1077826,rbf_riblt,16,0.95,sweep_rbf_riblt_n100000_sim95_t16
sweep_rbf_riblt_n100000_sim95_t17,1,1.794146358,rbf_riblt,17,0.95,sweep_rbf_riblt_n100000_sim95_t17
sweep_rbf_riblt_n100000_sim95_t17,1,2.039976886,rbf_riblt,17,0.95,sweep_rbf_riblt_n100000_sim95_t17
sweep_rbf_riblt_n100000_sim95_t18,1,1.797526602,rbf_riblt,18,0.95,sweep_rbf_riblt_n100000_sim95_t18
sweep_rbf_riblt_n100000_sim95_t18,1,2.005683301,rbf_riblt,18,0.95,sweep_rbf_riblt_n100000_sim95_t18
sweep_rbf_riblt_n100000_sim95_t19,1,1.732204932,rbf_riblt,19,0.95,sweep_rbf_riblt_n100000_sim95_t19
sweep_rbf_riblt_n100000_sim95_t19,1,1.972621297,rbf_riblt,19,0.95,sweep_rbf_riblt_n100000_sim95_t19
sweep_rbf_riblt_n100000_sim95_t20,1,1.756260626,rbf_riblt,20,0.95,sweep_rbf_riblt_n100000_sim95_t20
sweep_rbf_riblt_n100000_sim95_t20,1,2.008563339,rbf_riblt,20,0.95,sweep_rbf_riblt_n100000_sim95_t20
sweep_rbf_riblt_n100000_sim95_t21,1,1.760754557,rbf_riblt,21,0.95,sweep_rbf_riblt_n100000_sim95_t21
sweep_rbf_riblt_n100000_sim95_t21,1,2.00202487,rbf_riblt,21,0.95,sweep_rbf_riblt_n100000_sim95_t21
sweep_rbf_riblt_n100000_sim95_t22,1,1.791162591,rbf_riblt,22,0.95,sweep_rbf_riblt_n100000_sim95_t22
sweep_rbf_riblt_n100000_sim95_t22,1,2.035513251,rbf_riblt,22,0.95,sweep_rbf_riblt_n100000_sim95_t22
sweep_rbf_riblt_n100000_sim95_t23,1,1.761789181,rbf_riblt,23,0.95,sweep_rbf_riblt_n100000_sim95_t23
sweep_rbf_riblt_n100000_sim95_t23,1,1.98883954,rbf_riblt,23,0.95,sweep_rbf_riblt_n100000_sim95_t23
sweep_rbf_riblt_n100000_sim95_t24,1,1.762183014,rbf_riblt,24,0.95,sweep_rbf_riblt_n100000_sim95_t24
sweep_rbf_riblt_n100000_sim95_t24,1,2.008302333,rbf_riblt,24,0.95,sweep_rbf_riblt_n100000_sim95_t24
sweep_rbf_riblt_n100000_sim95_t25,1,1.789184961,rbf_riblt,25,0.95,sweep_rbf_riblt_n100000_sim95_t25
sweep_rbf_riblt_n100000_sim95_t25,1,2.003107401,rbf_riblt,25,0.95,sweep_rbf_riblt_n100000_sim95_t25
sweep_rbf_riblt_n100000_sim95_t26,1,1.750833182,rbf_riblt,26,0.95,sweep_rbf_riblt_n100000_sim95_t26
sweep_rbf_riblt_n100000_sim95_t26,1,1.988705019,rbf_riblt,26,0.95,sweep_rbf_riblt_n100000_sim95_t26
sweep_rbf_riblt_n100000_sim95_t27,1,1.822326437,rbf_riblt,27,0.95,sweep_rbf_riblt_n100000_sim95_t27
sweep_rbf_riblt_n100000_sim95_t27,1,2.055273838,rbf_riblt,27,0.95,sweep_rbf_riblt_n100000_sim95_t27
sweep_rbf_riblt_n100000_sim95_t28,1,1.723922443,rbf_riblt,28,0.95,sweep_rbf_riblt_n100000_sim95_t28
sweep_rbf_riblt_n100000_sim95_t28,1,1.96483775,rbf_riblt,28,0.95,sweep_rbf_riblt_n100000_sim95_t28
