run_dir,iteration,bloom_slices,protocol,trial,similarity,run_id
sweep_rbf_riblt_n100000_sim10_t24,1,7,rbf_riblt,24,0.1,sweep_rbf_riblt_n100000_sim10_t24
sweep_rbf_riblt_n100000_sim10_t25,1,5,rbf_riblt,25,0.1,sweep_rbf_riblt_n100000_sim10_t25
sweep_rbf_riblt_n100000_sim10_t25,1,7,rbf_riblt,25,0.1,sweep_rbf_riblt_n100000_sim10_t25
sweep_rbf_riblt_n100000_sim10_t26,1,5,rbf_riblt,26,0.1,sweep_rbf_riblt_n100000_sim10_t26
sweep_rbf_riblt_n100000_sim10_t26,1,7,rbf_riblt,26,0.1,sweep_rbf_riblt_n100000_sim10_t26
sweep_rbf_riblt_n100000_sim10_t27,1,5,rbf_riblt,27,0.1,sweep_rbf_riblt_n100000_sim10_t27
sweep_rbf_riblt_n100000_sim10_t27,1,7,rbf_riblt,27,0.1,sweep_rbf_riblt_n100000_sim10_t27
sweep_rbf_riblt_n100000_sim10_t28,1,5,rbf_riblt,28,0.1,sweep_rbf_riblt_n100000_sim10_t28
sweep_rbf_riblt_n100000_sim10_t28,1,7,rbf_riblt,28,0.1,sweep_rbf_riblt_n100000_sim10_t28
sweep_rbf_riblt_n100000_sim10_t29,1,5,rbf_riblt,29,0.1,sweep_rbf_riblt_n100000_sim10_t29
sweep_rbf_riblt_n100000_sim10_t29,1,7,rbf_riblt,29,0.1,sweep_rbf_riblt_n100000_sim10_t29
sweep_rbf_riblt_n100000_sim10_t30,1,5,rbf_riblt,30,0.1,sweep_rbf_riblt_n100000_sim10_t30
sweep_rbf_riblt_n100000_sim10_t30,1,7,rbf_riblt,30,0.1,sweep_rbf_riblt_n100000_sim10_t30
sweep_rbf_riblt_n100000_sim20_t1,1,4,rbf_riblt,1,0.2,sweep_rbf_riblt_n100000_sim20_t1
sweep_rbf_riblt_n100000_sim20_t1,1,6,rbf_riblt,1,0.2,sweep_rbf_riblt_n100000_sim20_t1
sweep_rbf_riblt_n100000_sim20_t2,1,4,rbf_riblt,2,0.2,sweep_rbf_riblt_n100000_sim20_t2
sweep_rbf_riblt_n100000_sim20_t2,1,6,rbf_riblt,2,0.2,sweep_rbf_riblt_n100000_sim20_t2
