source,protocol,trial,similarity,size,difference,round_duration_seconds
baseline,riblt,28,0.6,100000,50000,2.284125983
baseline,riblt,29,0.6,100000,50000,2.173225586
baseline,riblt,29,0.6,100000,50000,2.145989034
baseline,riblt,30,0.6,100000,50000,2.12602516
baseline,riblt,30,0.6,100000,50000,2.191190329
baseline,riblt,1,0.7,100000,35296,1.962063782
baseline,riblt,1,0.7,100000,35296,2.016510514
baseline,riblt,2,0.7,100000,35296,1.864406355
baseline,riblt,2,0.7,100000,35296,1.888629587
baseline,riblt,3,0.7,100000,35296,2.051344064
baseline,riblt,3,0.7,100000,35296,2.09590198
baseline,riblt,4,0.7,100000,35296,1.863666291
baseline,riblt,4,0.7,100000,35296,1.958789864
baseline,riblt,5,0.7,100000,35296,1.856882603
baseline,riblt,5,0.7,100000,35296,1.917953632
baseline,riblt,6,0.7,100000,35296,1.897138497
baseline,riblt,6,0.7,100000,35296,1.952157926
baseline,riblt,7,0.7,100000,35296,1.992431001
baseline,riblt,7,0.7,100000,35296,1.910421931
baseline,riblt,8,0.7,100000,35296,1.866716693
baseline,riblt,8,0.7,100000,35296,1.937186182
baseline,riblt,9,0.7,100000,35296,1.893350762
baseline,riblt,9,0.7,100000,35296,1.935893479
baseline,riblt,10,0.7,100000,35296,1.945021222
baseline,riblt,10,0.7,100000,35296,2.027873203
baseline,riblt,11,0.7,100000,35296,1.924676468
baseline,riblt,11,0.7,100000,35296,1.999582338
baseline,riblt,12,0.7,100000,35296,1.860501966
baseline,riblt,12,0.7,100000,35296,1.89624627
baseline,riblt,13,0.7,100000,35296,1.883195174
baseline,riblt,13,0.7,100000,35296,1.92031975
baseline,riblt,14,0.7,100000,35296,1.883383943
baseline,riblt,14,0.7,100000,35296,1.886536226
baseline,riblt,15,0.7,100000,35296,1.886890839
baseline,riblt,15,0.7,100000,35296,1.823718275
baseline,riblt,16,0.7,100000,35296,1.89162345
baseline,riblt,16,0.7,100000,35296,1.970818194
baseline,riblt,17,0.7,100000,35296,1.93146844
baseline,riblt,17,0.7,100000,35296,1.972993266
baseline,riblt,18,0.7,100000,35296,1.937177298
baseline,riblt,18,0.7,100000,35296,1.991706161
baseline,riblt,19,0.7,100000,35296,1.878464565
baseline,riblt,19,0.7,100000,35296,1.869818366
baseline,riblt,20,0.7,100000,35296,1.814670437
baseline,riblt,20,0.7,100000,35296,1.870922845
baseline,riblt,21,0.7,100000,35296,1.836010863
baseline,riblt,21,0.7,100000,35296,1.860216885
baseline,riblt,22,0.7,100000,35296,1.844953266
baseline,riblt,22,0.7,100000,35296,1.87021236
baseline,riblt,23,0.7,100000,35296,1.967258961
baseline,riblt,23,0.7,100000,35296,1.92445102
baseline,riblt,24,0.7,100000,35296,1.921515926
baseline,riblt,24,0.7,100000,35296,1.903068986
baseline,riblt,25,0.7,100000,35296,1.928650542
baseline,riblt,25,0.7,100000,35296,1.911716514
baseline,riblt,26,0.7,100000,35296,1.873742687
baseline,riblt,26,0.7,100000,35296,1.948438029
baseline,riblt,27,0.7,100000,35296,1.90574821
