run_id,protocol,trial,similarity,iteration,cpu_round_seconds,similarity_numeric,cpu_round_ms
sweep_merkle_n100000_sim20_t1,merkle,1,0.2,1,2.681252,0.2,2681.2520000000004
sweep_merkle_n100000_sim20_t10,merkle,10,0.2,1,2.513902,0.2,2513.902
sweep_merkle_n100000_sim20_t11,merkle,11,0.2,1,2.458526,0.2,2458.526
sweep_merkle_n100000_sim20_t12,merkle,12,0.2,1,2.451366,0.2,2451.366
sweep_merkle_n100000_sim20_t13,merkle,13,0.2,1,3.0446790000000004,0.2,3044.6790000000005
sweep_merkle_n100000_sim20_t14,merkle,14,0.2,1,2.526263,0.2,2526.263
sweep_merkle_n100000_sim20_t15,merkle,15,0.2,1,2.523216,0.2,2523.2160000000003
sweep_merkle_n100000_sim20_t16,merkle,16,0.2,1,2.635713,0.2,2635.713
sweep_merkle_n100000_sim20_t17,merkle,17,0.2,1,2.544442,0.2,2544.442
sweep_merkle_n100000_sim20_t18,merkle,18,0.2,1,2.447209,0.2,2447.209
sweep_merkle_n100000_sim20_t19,merkle,19,0.2,1,2.715475,0.2,2715.475
sweep_merkle_n100000_sim20_t2,merkle,2,0.2,1,2.483558,0.2,2483.558
sweep_merkle_n100000_sim20_t20,merkle,20,0.2,1,2.5542890000000003,0.2,2554.289
sweep_merkle_n100000_sim20_t21,merkle,21,0.2,1,2.553342,0.2,2553.3419999999996
sweep_merkle_n100000_sim20_t22,merkle,22,0.2,1,2.532939,0.2,2532.939
sweep_merkle_n100000_sim20_t23,merkle,23,0.2,1,2.674264,0.2,2674.264
sweep_merkle_n100000_sim20_t24,merkle,24,0.2,1,2.66313,0.2,2663.13
sweep_merkle_n100000_sim20_t25,merkle,25,0.2,1,2.6361030000000003,0.2,2636.1030000000005
sweep_merkle_n100000_sim20_t26,merkle,26,0.2,1,2.640714,0.2,2640.714
sweep_merkle_n100000_sim20_t27,merkle,27,0.2,1,2.5753820000000003,0.2,2575.382
sweep_merkle_n100000_sim20_t28,merkle,28,0.2,1,2.690685,0.2,2690.6850000000004
sweep_merkle_n100000_sim20_t29,merkle,29,0.2,1,2.581641,0.2,2581.641
sweep_merkle_n100000_sim20_t3,merkle,3,0.2,1,2.496064,0.2,2496.064
sweep_merkle_n100000_sim20_t30,merkle,30,0.2,1,2.413635,0.2,2413.635
sweep_merkle_n100000_sim20_t4,merkle,4,0.2,1,2.535947,0.2,2535.947
sweep_merkle_n100000_sim20_t5,merkle,5,0.2,1,2.640672,0.2,2640.672
sweep_merkle_n100000_sim20_t6,merkle,6,0.2,1,2.720548,0.2,2720.548
sweep_merkle_n100000_sim20_t7,merkle,7,0.2,1,2.784941,0.2,2784.941
sweep_merkle_n100000_sim20_t8,merkle,8,0.2,1,2.689205,0.2,2689.205
sweep_merkle_n100000_sim20_t9,merkle,9,0.2,1,3.001898,0.2,3001.898
sweep_merkle_n100000_sim30_t1,merkle,1,0.3,1,2.398652,0.3,2398.6519999999996
sweep_merkle_n100000_sim30_t10,merkle,10,0.3,1,2.420552,0.3,2420.5519999999997
sweep_merkle_n100000_sim30_t11,merkle,11,0.3,1,2.329322,0.3,2329.322
sweep_merkle_n100000_sim30_t12,merkle,12,0.3,1,2.261759,0.3,2261.759
sweep_merkle_n100000_sim30_t13,merkle,13,0.3,1,2.344853,0.3,2344.853
sweep_merkle_n100000_sim30_t14,merkle,14,0.3,1,2.344942,0.3,2344.942
sweep_merkle_n100000_sim30_t15,merkle,15,0.3,1,2.224882,0.3,2224.882
sweep_merkle_n100000_sim30_t16,merkle,16,0.3,1,2.260472,0.3,2260.472
sweep_merkle_n100000_sim30_t17,merkle,17,0.3,1,2.2783,0.3,2278.3
sweep_merkle_n100000_sim30_t18,merkle,18,0.3,1,2.291912,0.3,2291.912
sweep_merkle_n100000_sim30_t19,merkle,19,0.3,1,2.197798,0.3,2197.7980000000002
sweep_merkle_n100000_sim30_t2,merkle,2,0.3,1,2.291058,0.3,2291.058
sweep_merkle_n100000_sim30_t20,merkle,20,0.3,1,2.173397,0.3,2173.397
sweep_merkle_n100000_sim30_t21,merkle,21,0.3,1,2.851162,0.3,2851.162
sweep_merkle_n100000_sim30_t22,merkle,22,0.3,1,2.241966,0.3,2241.9660000000003
sweep_merkle_n100000_sim30_t23,merkle,23,0.3,1,2.1829,0.3,2182.9
sweep_merkle_n100000_sim30_t24,merkle,24,0.3,1,2.153089,0.3,2153.089
sweep_merkle_n100000_sim30_t25,merkle,25,0.3,1,2.299853,0.3,2299.853
sweep_merkle_n100000_sim30_t26,merkle,26,0.3,1,2.285695,0.3,2285.695
sweep_merkle_n100000_sim30_t27,merkle,27,0.3,1,2.325017,0.3,2325.017
sweep_merkle_n100000_sim30_t28,merkle,28,0.3,1,2.368672,0.3,2368.672
sweep_merkle_n100000_sim30_t29,merkle,29,0.3,1,2.227459,0.3,2227.4590000000003
sweep_merkle_n100000_sim30_t3,merkle,3,0.3,1,2.381246,0.3,2381.246
sweep_merkle_n100000_sim30_t30,merkle,30,0.3,1,2.303754,0.3,2303.754
sweep_merkle_n100000_sim30_t4,merkle,4,0.3,1,2.306467,0.3,2306.467
sweep_merkle_n100000_sim30_t5,merkle,5,0.3,1,2.312478,0.3,2312.478
sweep_merkle_n100000_sim30_t6,merkle,6,0.3,1,2.3918500000000003,0.3,2391.8500000000004
sweep_merkle_n100000_sim30_t7,merkle,7,0.3,1,2.354997,0.3,2354.997
sweep_merkle_n100000_sim30_t8,merkle,8,0.3,1,2.325485,0.3,2325.485
sweep_merkle_n100000_sim30_t9,merkle,9,0.3,1,2.31632,0.3,2316.32
sweep_merkle_n100000_sim40_t1,merkle,1,0.4,1,1.972287,0.4,1972.2869999999998
sweep_merkle_n100000_sim40_t10,merkle,10,0.4,1,2.106112,0.4,2106.112
sweep_merkle_n100000_sim40_t11,merkle,11,0.4,1,2.034878,0.4,2034.878
sweep_merkle_n100000_sim40_t12,merkle,12,0.4,1,2.037964,0.4,2037.9640000000002
sweep_merkle_n100000_sim40_t13,merkle,13,0.4,1,2.4895460000000003,0.4,2489.5460000000003
sweep_merkle_n100000_sim40_t14,merkle,14,0.4,1,2.10144,0.4,2101.44
sweep_merkle_n100000_sim40_t15,merkle,15,0.4,1,1.954085,0.4,1954.085
sweep_merkle_n100000_sim40_t16,merkle,16,0.4,1,2.322581,0.4,2322.581
sweep_merkle_n100000_sim40_t17,merkle,17,0.4,1,2.10628,0.4,2106.2799999999997
sweep_merkle_n100000_sim40_t18,merkle,18,0.4,1,2.061145,0.4,2061.145
sweep_merkle_n100000_sim40_t19,merkle,19,0.4,1,2.05649,0.4,2056.4900000000002
sweep_merkle_n100000_sim40_t2,merkle,2,0.4,1,2.045842,0.4,2045.8419999999999
sweep_merkle_n100000_sim40_t20,merkle,20,0.4,1,2.081739,0.4,2081.7389999999996
sweep_merkle_n100000_sim40_t21,merkle,21,0.4,1,1.94381,0.4,1943.81
sweep_merkle_n100000_sim40_t22,merkle,22,0.4,1,2.060298,0.4,2060.298
sweep_merkle_n100000_sim40_t23,merkle,23,0.4,1,2.109866,0.4,2109.866
sweep_merkle_n100000_sim40_t24,merkle,24,0.4,1,2.383374,0.4,2383.374
sweep_merkle_n100000_sim40_t25,merkle,25,0.4,1,2.048341,0.4,2048.3410000000003
sweep_merkle_n100000_sim40_t26,merkle,26,0.4,1,2.070239,0.4,2070.239
sweep_merkle_n100000_sim40_t27,merkle,27,0.4,1,2.020221,0.4,2020.2209999999998
sweep_merkle_n100000_sim40_t28,merkle,28,0.4,1,2.080681,0.4,2080.6809999999996
sweep_merkle_n100000_sim40_t29,merkle,29,0.4,1,1.94595,0.4,1945.95
sweep_merkle_n100000_sim40_t3,merkle,3,0.4,1,2.121563,0.4,2121.563
sweep_merkle_n100000_sim40_t30,merkle,30,0.4,1,2.041016,0.4,2041.0159999999998
sweep_merkle_n100000_sim40_t4,merkle,4,0.4,1,2.057561,0.4,2057.561
sweep_merkle_n100000_sim40_t5,merkle,5,0.4,1,2.103346,0.4,2103.346
sweep_merkle_n100000_sim40_t6,merkle,6,0.4,1,1.908724,0.4,1908.7240000000002
sweep_merkle_n100000_sim40_t7,merkle,7,0.4,1,2.060392,0.4,2060.392
sweep_merkle_n100000_sim40_t8,merkle,8,0.4,1,2.078816,0.4,2078.8160000000003
sweep_merkle_n100000_sim40_t9,merkle,9,0.4,1,1.993215,0.4,1993.215
sweep_merkle_n100000_sim50_t1,merkle,1,0.5,1,1.848237,0.5,1848.2369999999999
sweep_merkle_n100000_sim50_t10,merkle,10,0.5,1,1.886031,0.5,1886.031
sweep_merkle_n100000_sim50_t11,merkle,11,0.5,1,1.885103,0.5,1885.103
sweep_merkle_n100000_sim50_t12,merkle,12,0.5,1,1.815649,0.5,1815.6490000000001
sweep_merkle_n100000_sim50_t13,merkle,13,0.5,1,1.7714530000000002,0.5,1771.4530000000002
sweep_merkle_n100000_sim50_t14,merkle,14,0.5,1,1.834837,0.5,1834.837
sweep_merkle_n100000_sim50_t15,merkle,15,0.5,1,1.879968,0.5,1879.968
sweep_merkle_n100000_sim50_t16,merkle,16,0.5,1,1.798136,0.5,1798.136
sweep_merkle_n100000_sim50_t17,merkle,17,0.5,1,1.8595230000000005,0.5,1859.5230000000006
sweep_merkle_n100000_sim50_t18,merkle,18,0.5,1,1.908102,0.5,1908.1019999999999
sweep_merkle_n100000_sim50_t19,merkle,19,0.5,1,1.806954,0.5,1806.954
sweep_merkle_n100000_sim50_t2,merkle,2,0.5,1,1.810134,0.5,1810.134
sweep_merkle_n100000_sim50_t20,merkle,20,0.5,1,1.823534,0.5,1823.5339999999999
sweep_merkle_n100000_sim50_t21,merkle,21,0.5,1,1.791471,0.5,1791.471
sweep_merkle_n100000_sim50_t22,merkle,22,0.5,1,1.821875,0.5,1821.875
sweep_merkle_n100000_sim50_t23,merkle,23,0.5,1,1.807802,0.5,1807.802
sweep_merkle_n100000_sim50_t24,merkle,24,0.5,1,1.78905,0.5,1789.05
sweep_merkle_n100000_sim50_t25,merkle,25,0.5,1,1.824094,0.5,1824.094
sweep_merkle_n100000_sim50_t26,merkle,26,0.5,1,1.875647,0.5,1875.6470000000002
sweep_merkle_n100000_sim50_t27,merkle,27,0.5,1,2.159538,0.5,2159.538
sweep_merkle_n100000_sim50_t28,merkle,28,0.5,1,1.9713,0.5,1971.3
sweep_merkle_n100000_sim50_t29,merkle,29,0.5,1,1.839384,0.5,1839.384
sweep_merkle_n100000_sim50_t3,merkle,3,0.5,1,1.934678,0.5,1934.6779999999999
sweep_merkle_n100000_sim50_t30,merkle,30,0.5,1,1.879638,0.5,1879.638
sweep_merkle_n100000_sim50_t4,merkle,4,0.5,1,2.171093,0.5,2171.093
sweep_merkle_n100000_sim50_t5,merkle,5,0.5,1,1.7651880000000002,0.5,1765.188
sweep_merkle_n100000_sim50_t6,merkle,6,0.5,1,1.834842,0.5,1834.842
sweep_merkle_n100000_sim50_t7,merkle,7,0.5,1,1.839295,0.5,1839.2949999999998
sweep_merkle_n100000_sim50_t8,merkle,8,0.5,1,1.896607,0.5,1896.607
sweep_merkle_n100000_sim50_t9,merkle,9,0.5,1,1.808456,0.5,1808.4560000000001
sweep_merkle_n100000_sim60_t1,merkle,1,0.6,1,1.6218549999999998,0.6,1621.8549999999998
sweep_merkle_n100000_sim60_t10,merkle,10,0.6,1,1.589056,0.6,1589.056
sweep_merkle_n100000_sim60_t11,merkle,11,0.6,1,1.613224,0.6,1613.224
sweep_merkle_n100000_sim60_t12,merkle,12,0.6,1,1.6498529999999998,0.6,1649.8529999999998
sweep_merkle_n100000_sim60_t13,merkle,13,0.6,1,1.725,0.6,1725.0
sweep_merkle_n100000_sim60_t14,merkle,14,0.6,1,1.589127,0.6,1589.127
sweep_merkle_n100000_sim60_t15,merkle,15,0.6,1,1.660581,0.6,1660.5810000000001
sweep_merkle_n100000_sim60_t16,merkle,16,0.6,1,1.973403,0.6,1973.403
sweep_merkle_n100000_sim60_t17,merkle,17,0.6,1,1.6104269999999998,0.6,1610.427
sweep_merkle_n100000_sim60_t18,merkle,18,0.6,1,1.630931,0.6,1630.9309999999998
sweep_merkle_n100000_sim60_t19,merkle,19,0.6,1,1.638585,0.6,1638.585
sweep_merkle_n100000_sim60_t2,merkle,2,0.6,1,1.577327,0.6,1577.327
sweep_merkle_n100000_sim60_t20,merkle,20,0.6,1,1.600541,0.6,1600.541
sweep_merkle_n100000_sim60_t21,merkle,21,0.6,1,1.5643349999999998,0.6,1564.3349999999998
sweep_merkle_n100000_sim60_t22,merkle,22,0.6,1,1.581471,0.6,1581.471
sweep_merkle_n100000_sim60_t23,merkle,23,0.6,1,1.685404,0.6,1685.404
sweep_merkle_n100000_sim60_t24,merkle,24,0.6,1,1.60848,0.6,1608.48
sweep_merkle_n100000_sim60_t25,merkle,25,0.6,1,1.58463,0.6,1584.6299999999999
sweep_merkle_n100000_sim60_t26,merkle,26,0.6,1,1.63574,0.6,1635.74
sweep_merkle_n100000_sim60_t27,merkle,27,0.6,1,1.66734,0.6,1667.3400000000001
sweep_merkle_n100000_sim60_t28,merkle,28,0.6,1,1.584054,0.6,1584.054
sweep_merkle_n100000_sim60_t29,merkle,29,0.6,1,1.603657,0.6,1603.6570000000002
