run_id,protocol,trial,similarity,iteration,rss_memory_bytes,similarity_numeric,rss_memory_mb
sweep_merkle_n100000_sim30_t9,merkle,9,0.3,1,435179520,0.3,415.01953125
sweep_merkle_n100000_sim40_t1,merkle,1,0.4,1,404819968,0.4,386.06640625
sweep_merkle_n100000_sim40_t10,merkle,10,0.4,1,374722560,0.4,357.36328125
sweep_merkle_n100000_sim40_t11,merkle,11,0.4,1,346181632,0.4,330.14453125
sweep_merkle_n100000_sim40_t12,merkle,12,0.4,1,358793216,0.4,342.171875
sweep_merkle_n100000_sim40_t13,merkle,13,0.4,1,391069696,0.4,372.953125
sweep_merkle_n100000_sim40_t14,merkle,14,0.4,1,365744128,0.4,348.80078125
sweep_merkle_n100000_sim40_t15,merkle,15,0.4,1,323891200,0.4,308.88671875
sweep_merkle_n100000_sim40_t16,merkle,16,0.4,1,341757952,0.4,325.92578125
sweep_merkle_n100000_sim40_t17,merkle,17,0.4,1,389414912,0.4,371.375
sweep_merkle_n100000_sim40_t18,merkle,18,0.4,1,355082240,0.4,338.6328125
sweep_merkle_n100000_sim40_t19,merkle,19,0.4,1,395460608,0.4,377.140625
sweep_merkle_n100000_sim40_t2,merkle,2,0.4,1,362528768,0.4,345.734375
sweep_merkle_n100000_sim40_t20,merkle,20,0.4,1,384479232,0.4,366.66796875
sweep_merkle_n100000_sim40_t21,merkle,21,0.4,1,367210496,0.4,350.19921875
sweep_merkle_n100000_sim40_t22,merkle,22,0.4,1,372486144,0.4,355.23046875
sweep_merkle_n100000_sim40_t23,merkle,23,0.4,1,423473152,0.4,403.85546875
sweep_merkle_n100000_sim40_t24,merkle,24,0.4,1,397406208,0.4,378.99609375
sweep_merkle_n100000_sim40_t25,merkle,25,0.4,1,369700864,0.4,352.57421875
sweep_merkle_n100000_sim40_t26,merkle,26,0.4,1,367820800,0.4,350.78125
sweep_merkle_n100000_sim40_t27,merkle,27,0.4,1,345206784,0.4,329.21484375
sweep_merkle_n100000_sim40_t28,merkle,28,0.4,1,397701120,0.4,379.27734375
sweep_merkle_n100000_sim40_t29,merkle,29,0.4,1,376623104,0.4,359.17578125
sweep_merkle_n100000_sim40_t3,merkle,3,0.4,1,392491008,0.4,374.30859375
sweep_merkle_n100000_sim40_t30,merkle,30,0.4,1,373886976,0.4,356.56640625
sweep_merkle_n100000_sim40_t4,merkle,4,0.4,1,408371200,0.4,389.453125
sweep_merkle_n100000_sim40_t5,merkle,5,0.4,1,326426624,0.4,311.3046875
sweep_merkle_n100000_sim40_t6,merkle,6,0.4,1,369594368,0.4,352.47265625
sweep_merkle_n100000_sim40_t7,merkle,7,0.4,1,363282432,0.4,346.453125
sweep_merkle_n100000_sim40_t8,merkle,8,0.4,1,377962496,0.4,360.453125
sweep_merkle_n100000_sim40_t9,merkle,9,0.4,1,380534784,0.4,362.90625
sweep_merkle_n100000_sim50_t1,merkle,1,0.5,1,371232768,0.5,354.03515625
sweep_merkle_n100000_sim50_t10,merkle,10,0.5,1,356687872,0.5,340.1640625
sweep_merkle_n100000_sim50_t11,merkle,11,0.5,1,326828032,0.5,311.6875
sweep_merkle_n100000_sim50_t12,merkle,12,0.5,1,328036352,0.5,312.83984375
sweep_merkle_n100000_sim50_t13,merkle,13,0.5,1,341368832,0.5,325.5546875
sweep_merkle_n100000_sim50_t14,merkle,14,0.5,1,389828608,0.5,371.76953125
sweep_merkle_n100000_sim50_t15,merkle,15,0.5,1,325435392,0.5,310.359375
sweep_merkle_n100000_sim50_t16,merkle,16,0.5,1,355172352,0.5,338.71875
sweep_merkle_n100000_sim50_t17,merkle,17,0.5,1,376098816,0.5,358.67578125
sweep_merkle_n100000_sim50_t18,merkle,18,0.5,1,381104128,0.5,363.44921875
sweep_merkle_n100000_sim50_t19,merkle,19,0.5,1,356401152,0.5,339.890625
sweep_merkle_n100000_sim50_t2,merkle,2,0.5,1,340647936,0.5,324.8671875
sweep_merkle_n100000_sim50_t20,merkle,20,0.5,1,341622784,0.5,325.796875
sweep_merkle_n100000_sim50_t21,merkle,21,0.5,1,341372928,0.5,325.55859375
sweep_merkle_n100000_sim50_t22,merkle,22,0.5,1,356536320,0.5,340.01953125
sweep_merkle_n100000_sim50_t23,merkle,23,0.5,1,365592576,0.5,348.65625
